,acteurs,director,href,jaartal,rank,rating,samenvatting,titel
0,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",Frank Darabont,https://www.imdb.com//title/tt0111161/,1994,1,9.2,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",The Shawshank Redemption
1,"['Marlon Brando', 'Al Pacino', 'James Caan']",Francis Ford Coppola,https://www.imdb.com//title/tt0068646/,1972,2,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,The Godfather
2,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']",Francis Ford Coppola,https://www.imdb.com//title/tt0071562/,1974,3,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",The Godfather: Part II
3,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",Christopher Nolan,https://www.imdb.com//title/tt0468569/,2008,4,9.0,"When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",The Dark Knight
4,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']",Sidney Lumet,https://www.imdb.com//title/tt0050083/,1957,5,8.9,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,12 Angry Men
5,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",Steven Spielberg,https://www.imdb.com//title/tt0108052/,1993,6,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Schindler's List
6,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']",Peter Jackson,https://www.imdb.com//title/tt0167260/,2003,7,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,The Lord of the Rings: The Return of the King
7,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']",Quentin Tarantino,https://www.imdb.com//title/tt0110912/,1994,8,8.9,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Pulp Fiction
8,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']","Directors:
Anthony Russo, Joe Russo",https://www.imdb.com//title/tt4154796/,2019,9,8.8,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",Avengers: Endgame
9,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",Sergio Leone,https://www.imdb.com//title/tt0060196/,1966,10,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Il buono, il brutto, il cattivo"
10,"['Brad Pitt', 'Edward Norton', 'Meat Loaf']",David Fincher,https://www.imdb.com//title/tt0137523/,1999,11,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Fight Club
11,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']",Peter Jackson,https://www.imdb.com//title/tt0120737/,2001,12,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,The Lord of the Rings: The Fellowship of the Ring
12,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",Robert Zemeckis,https://www.imdb.com//title/tt0109830/,1994,13,8.7,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",Forrest Gump
13,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",Irvin Kershner,https://www.imdb.com//title/tt0080684/,1980,14,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.",Star Wars: Episode V - The Empire Strikes Back
14,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",Christopher Nolan,https://www.imdb.com//title/tt1375666/,2010,15,8.7,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Inception
15,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson,https://www.imdb.com//title/tt0167261/,2002,16,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",The Lord of the Rings: The Two Towers
16,"['Jack Nicholson', 'Louise Fletcher', 'Will Sampson']",Milos Forman,https://www.imdb.com//title/tt0073486/,1975,17,8.7,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,One Flew Over the Cuckoo's Nest
17,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']",Martin Scorsese,https://www.imdb.com//title/tt0099685/,1990,18,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Goodfellas
18,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']","Directors:
Lana Wachowski (as The Wachowski Brothers), Lilly Wachowski (as The Wachowski Brothers)",https://www.imdb.com//title/tt0133093/,1999,19,8.6,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,The Matrix
19,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima']",Akira Kurosawa,https://www.imdb.com//title/tt0047478/,1954,20,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Shichinin no samurai
20,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']",David Fincher,https://www.imdb.com//title/tt0114369/,1995,21,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Seven
21,"['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']","Directors:
Fernando Meirelles, Kátia Lund (co-director)",https://www.imdb.com//title/tt0317248/,2002,22,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Cidade de Deus
22,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",George Lucas,https://www.imdb.com//title/tt0076759/,1977,23,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Star Wars: Episode IV - A New Hope
23,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney']",Jonathan Demme,https://www.imdb.com//title/tt0102926/,1991,24,8.6,"A young F.B.I. cadet (Jodie Foster) must receive the help of an incarcerated and manipulative cannibal killer (Sir Anthony Hopkins) to help catch another serial killer (Ted Levine), a madman who skins his victims.",The Silence of the Lambs
24,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']",Frank Capra,https://www.imdb.com//title/tt0038650/,1946,25,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,It's a Wonderful Life
25,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",Roberto Benigni,https://www.imdb.com//title/tt0118799/,1997,26,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",La vita è bella
26,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino']","Directors:
Hayao Miyazaki, Kirk Wise",https://www.imdb.com//title/tt0245429/,2001,27,8.5,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",De reis van Chihiro
27,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']",Steven Spielberg,https://www.imdb.com//title/tt0120815/,1998,28,8.5,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Saving Private Ryan
28,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']",Bryan Singer,https://www.imdb.com//title/tt0114814/,1995,29,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",The Usual Suspects
29,"['Jean Reno', 'Gary Oldman', 'Natalie Portman']",Luc Besson,https://www.imdb.com//title/tt0110413/,1994,30,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",Léon
30,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']",Frank Darabont,https://www.imdb.com//title/tt0120689/,1999,31,8.5,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",The Green Mile
31,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",Christopher Nolan,https://www.imdb.com//title/tt0816692/,2014,32,8.5,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Interstellar
32,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",Alfred Hitchcock,https://www.imdb.com//title/tt0054215/,1960,33,8.5,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Psycho
33,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",Tony Kaye,https://www.imdb.com//title/tt0120586/,1998,34,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,American History X
34,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']",Charles Chaplin,https://www.imdb.com//title/tt0021749/,1931,35,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",City Lights
35,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",Michael Curtiz,https://www.imdb.com//title/tt0034583/,1942,36,8.5,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Casablanca
36,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']",Sergio Leone,https://www.imdb.com//title/tt0064116/,1968,37,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Once Upon a Time in the West
37,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",Roman Polanski,https://www.imdb.com//title/tt0253474/,2002,38,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,The Pianist
38,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']",Charles Chaplin (as Charlie Chaplin),https://www.imdb.com//title/tt0027977/,1936,39,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Modern Times
39,"['François Cluzet', 'Omar Sy', 'Anne Le Ny']","Directors:
Olivier Nakache, Éric Toledano",https://www.imdb.com//title/tt1675434/,2011,40,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",The Intouchables
40,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",Martin Scorsese,https://www.imdb.com//title/tt0407887/,2006,41,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,The Departed
41,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",Robert Zemeckis,https://www.imdb.com//title/tt0088763/,1985,42,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Back to the Future
42,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",James Cameron,https://www.imdb.com//title/tt0103064/,1991,43,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",Terminator 2: Judgment Day
43,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",Damien Chazelle,https://www.imdb.com//title/tt2582802/,2014,44,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Whiplash
